3  [6520, 49495, 49490, 49493, 11313]
6  [14126, 14126, 14126, 14126, 14126]
8  [14131, 14166, 14131, 48160, 49266]
15  [13291, 13291, 13289, 38121, 38121]
16  [10036, 583, 5926, 8033, 16027]
18  [1520, 49464, 49464, 1520, 52464]
19  [1517, 49333, 14927, 1517, 15168]
21  [16723, 14977, 14975, 5731, 16723]
22  [48456, 48456, 6649, 8163, 29099]
31  [48777, 1580, 49469, 8845, 49469]
32  [39646, 8366, 30089, 30089, 38061]
34  [13392, 38289, 37597, 37472, 4275]
35  [6536, 49338, 6564, 6564, 6536]
37  [12465, 1720, 1718, 1643, 1720]
43  [8704, 47706, 4257, 1258, 47706]
44  [13392, 24424, 24424, 24424, 49466]
45  [48229, 15211, 48234, 48234, 48229]
46  [49197, 5982, 1765, 1765, 7942]
48  [14906, 14190, 14190, 3476, 14194]
50  [49338, 49330, 3431, 15177, 3431]
52  [38285, 39050, 1727, 29554, 29560]
53  [14610, 14418, 37776, 52680, 49482]
54  [50274, 5915, 50242, 50274, 48725]
55  [15798, 14190, 46189, 14190, 3475]
58  [49463, 49463, 7, 49463, 49463]
59  [52592, 9160, 48873, 49480, 48232]
67  [49332, 15443, 3433, 15168, 49333]
70  [15211, 49332, 15211, 49332, 49548]
72  [7867, 1620, 52735, 52739, 13927]
74  [22161, 19853, 22159, 9303, 22161]
77  [52592, 48128, 49554, 29167, 37899]
78  [48232, 4454, 48232, 49332, 48234]
79  [33395, 52618, 52618, 42848, 48113]
80  [24386, 15166, 2886, 15166, 39266]
81  [4275, 41281, 13, 49480, 13]
84  [44531, 44531, 44527, 44527, 10425]
86  [3476, 14194, 14190, 14170, 14172]
89  [8090, 7599, 8091, 7599, 8091]
90  [15667, 4277, 15667, 37470, 27326]
96  [52555, 52555, 16742, 8616, 16744]
97  [52128, 52128, 52128, 52125, 52126]
100  [52602, 24399, 15224, 24399, 24399]
101  [48710, 48710, 1876, 47114, 52525]
106  [52460, 52712, 52622, 52462, 9701]
107  [3478, 14190, 14172, 14192, 14172]
112  [3475, 3475, 14124, 3476, 14133]
116  [13, 49463, 13, 49463, 6366]
117  [52590, 48232, 4454, 48229, 49327]
118  [49514, 49514, 30243, 38319, 49514]
120  [19773, 48178, 19611, 19608, 19611]
122  [52458, 52458, 15667, 5296, 4277]
124  [1772, 1772, 28236, 21342, 1772]
131  [39644, 14823, 49486, 14823, 49495]
133  [48708, 9779, 45732, 47107, 45732]
134  [1273, 9701, 52682, 52682, 13935]
136  [1707, 1711, 1711, 1711, 1711]
137  [44307, 52624, 49513, 49486, 49486]
139  [36631, 23218, 23218, 49486, 14823]
145  [39050, 1727, 1732, 29177, 21342]
146  [8337, 47834, 8339, 8339, 8337]
147  [15777, 15777, 15777, 37596, 15777]
150  [14387, 14387, 18860, 48378, 14387]
152  [35782, 30894, 14778, 24409, 30894]
155  [49537, 49534, 49537, 49537, 49537]
159  [8616, 37361, 37361, 37370, 8388]
163  [14129, 14129, 32391, 37877, 14163]
164  [52458, 52449, 52449, 52458, 52459]
165  [38335, 29517, 29517, 15069, 29517]
168  [14166, 14172, 14172, 3478, 14172]
169  [52449, 52455, 47834, 52459, 9870]
